model,ic_mean,ic_t,ic_hit_rate,ic_n_periods,decile_spread_mean
ew,0.04783049756928397,3.516774533066387,0.6610169491525424,59,-0.006573850171611836
gbm_cls,-0.003802190403706921,-0.32557217871166305,0.5116279069767442,43,0.006317967021163706
logit,-0.021691227120245304,-1.6127957093078427,0.41304347826086957,46,-0.0033786662878565513
naive,-0.02701470938217713,-2.4196729972500415,0.3220338983050847,59,-0.026865455525408803
gbm_rank,-0.03806385839890649,-2.036927860430121,0.37209302325581395,43,0.0011269442856475225
