Ticker,Company,n_positions,avg_trade,total_pnl,worst_trade,best_trade,win_rate,avg_si
NMT,Neometals Ltd,16,0.12004992477568924,0.03185879384184108,-0.366666734963657,0.28333329297602083,0.875,1.6125
CCX,City Chic Collective,17,0.10808254779802565,0.030773898679529437,-0.16666669771075315,0.5901639440372981,0.6470588235294118,0.5852941176470587
BAP,Burson Group Ltd,6,0.2365612931828935,0.0246912679973775,-0.014285814843214784,0.5934579616259745,0.8333333333333334,7.265
CXL,Calix Limited,30,0.0486407846392961,0.024528984220003148,-0.9076923923379603,0.5201793527801637,0.5333333333333333,2.5050000000000003
SGR,The Star Ent Grp,21,0.06811282295436598,0.023732095493656517,-0.30769236941309597,0.44444442972724785,0.6666666666666666,4.358095238095238
GLL,Galilee Energy Ltd,10,0.14292699801068323,0.023718533417637175,-0.3684211248671272,0.41666665373163103,0.7,0.088
LOT,Lotus Resources Ltd,16,0.08044641701512487,0.022034665262627935,-0.3421052459290437,0.5454545418056538,0.625,7.216875
WBT,Weebit Nano Ltd,18,0.07404357377401746,0.02190334957658614,-0.27272728543953995,0.23469389244597505,0.7222222222222222,5.049444444444444
SYR,Syrah Resources,28,0.04222623099104604,0.020078224392558887,-0.4022988757741923,0.3255813717089918,0.7142857142857143,10.52107142857143
ERA,Energy Resources 'A',7,0.15772081242326502,0.018348549245066112,-0.40000007450580766,0.5714285809318627,0.7142857142857143,0.0
BOT,Botanix Pharma Ltd,12,0.07904887142864232,0.016011059117494987,-0.08333331781129005,0.46031745055605455,0.6666666666666666,2.8049999999999997
AMS,Atomos,6,0.1579675820594745,0.015870492633926172,-0.17142859879805106,0.533333308498064,0.6666666666666666,0.15666666666666665
BUB,Bubs Aust Ltd,14,0.06731942138893016,0.01581535399915987,-0.11111108351636934,0.18181818181818177,0.7142857142857143,1.1214285714285714
AD8,Audinategroupltd,10,0.0877441750844738,0.015215981254395215,-0.08179961273800784,0.2995392039236885,0.7,4.209
AQZ,Alliance Aviation,24,0.035410348879062664,0.014527410838234852,-0.08727272152613885,0.4052863281122815,0.75,0.050416666666666665
GLN,Galan Lithium Ltd,13,0.06190347842636595,0.01337728105898109,-0.5000000931322595,0.22222224981696403,0.7692307692307693,1.1007692307692307
HLS,Hillcrest Litigat.,15,0.04874485075205629,0.012673407108485728,-0.18110239553304308,0.32075465332362263,0.6666666666666666,5.097333333333334
LIC,Lifestyle Communit.,24,0.03154808437432797,0.01251345284588647,-0.10038610003068138,0.320346298006167,0.4583333333333333,8.1775
AGY,Argosy Minerals Ltd,14,0.05584046107973832,0.012399739990573234,-0.49999989043264415,0.4782608660441491,0.5714285714285714,3.39
CHN,Chalice Gold Mines,16,0.04464276504353326,0.011769222277200519,-0.5627705560685168,0.4827586123515917,0.625,5.760625
PDI,Predictive Disc Ltd,10,0.06307001827430783,0.010735898337259717,-0.1617647252177694,0.290816347631798,0.7,0.751
PEN,Peninsula Minerals,17,0.034460261476100026,0.010041212604182906,-0.45384619616898014,0.2962963330892855,0.4117647058823529,1.1641176470588235
PAR,Paradigm Bio.,13,0.04485122089840381,0.00947615052160126,-0.4499999503294647,0.2790697738890907,0.6923076923076923,0.4807692307692308
