model,strategy,filter,trail_months,threshold_pct,period,n_months,skipped_short_months,Sharpe,CAGR_%,MaxDD_%,hit_rate_%
ew,long_short_quintile,NONE,0,0,IS,156,0,0.507,8.69,-57.39,62.2
ew,long_short_quintile,NONE,0,0,OOS,35,0,0.913,17.17,-16.55,48.6
ew,quintile_short,trail3m>5%,3,5,ALL,191,53,-0.126,-6.55,-80.65,36.1
ew,quintile_short,trail3m>5%,3,5,IS,156,44,-0.209,-9.28,-80.65,34.0
ew,quintile_short,trail3m>5%,3,5,OOS,35,9,0.471,6.66,-22.49,45.7
ew,long_short_quintile,trail3m>5%,3,5,ALL,191,53,0.48,7.31,-52.13,44.5
ew,long_short_quintile,trail3m>5%,3,5,IS,156,44,0.332,4.5,-52.13,44.9
ew,long_short_quintile,trail3m>5%,3,5,OOS,35,9,1.289,20.79,-16.34,42.9
ew,quintile_short,trail3m>10%,3,10,ALL,191,10,-0.172,-8.51,-83.04,44.0
ew,quintile_short,trail3m>10%,3,10,IS,156,9,-0.216,-10.25,-83.04,42.3
ew,quintile_short,trail3m>10%,3,10,OOS,35,1,0.09,-0.28,-35.89,51.4
ew,long_short_quintile,trail3m>10%,3,10,ALL,191,10,0.568,9.79,-51.44,57.1
ew,long_short_quintile,trail3m>10%,3,10,IS,156,9,0.462,7.54,-51.44,59.0
ew,long_short_quintile,trail3m>10%,3,10,OOS,35,1,1.092,20.43,-16.55,48.6
ew,quintile_short,trail3m>15%,3,15,ALL,191,1,-0.183,-9.0,-84.86,46.1
ew,quintile_short,trail3m>15%,3,15,IS,156,1,-0.201,-10.08,-84.86,44.9
ew,quintile_short,trail3m>15%,3,15,OOS,35,0,-0.079,-4.08,-36.61,51.4
ew,long_short_quintile,trail3m>15%,3,15,ALL,191,1,0.594,10.55,-55.14,59.7
ew,long_short_quintile,trail3m>15%,3,15,IS,156,1,0.527,9.12,-55.14,62.2
ew,long_short_quintile,trail3m>15%,3,15,OOS,35,0,0.913,17.17,-16.55,48.6
ew,quintile_short,trail3m>20%,3,20,ALL,191,1,-0.183,-9.0,-84.86,46.1
ew,quintile_short,trail3m>20%,3,20,IS,156,1,-0.201,-10.08,-84.86,44.9
ew,quintile_short,trail3m>20%,3,20,OOS,35,0,-0.079,-4.08,-36.61,51.4
ew,long_short_quintile,trail3m>20%,3,20,ALL,191,1,0.594,10.55,-55.14,59.7
ew,long_short_quintile,trail3m>20%,3,20,IS,156,1,0.527,9.12,-55.14,62.2
ew,long_short_quintile,trail3m>20%,3,20,OOS,35,0,0.913,17.17,-16.55,48.6
ew,quintile_short,trail6m>5%,6,5,ALL,191,69,-0.213,-8.29,-80.52,29.8
ew,quintile_short,trail6m>5%,6,5,IS,156,56,-0.23,-9.31,-80.52,29.5
ew,quintile_short,trail6m>5%,6,5,OOS,35,13,-0.117,-3.62,-35.05,31.4
ew,long_short_quintile,trail6m>5%,6,5,ALL,191,69,0.398,5.36,-40.18,36.6
ew,long_short_quintile,trail6m>5%,6,5,IS,156,56,0.324,4.09,-40.18,37.8
ew,long_short_quintile,trail6m>5%,6,5,OOS,35,13,0.743,11.21,-16.55,31.4
ew,quintile_short,trail6m>10%,6,10,ALL,191,32,-0.1,-6.24,-74.05,41.4
ew,quintile_short,trail6m>10%,6,10,IS,156,28,-0.116,-7.07,-74.05,40.4
ew,quintile_short,trail6m>10%,6,10,OOS,35,4,-0.008,-2.47,-33.45,45.7
ew,long_short_quintile,trail6m>10%,6,10,ALL,191,32,0.631,10.42,-43.99,50.3
ew,long_short_quintile,trail6m>10%,6,10,IS,156,28,0.529,8.34,-43.99,51.3
ew,long_short_quintile,trail6m>10%,6,10,OOS,35,4,1.082,20.2,-16.55,45.7
ew,quintile_short,trail6m>15%,6,15,ALL,191,5,-0.199,-9.33,-85.01,45.0
ew,quintile_short,trail6m>15%,6,15,IS,156,5,-0.22,-10.47,-85.01,43.6
ew,quintile_short,trail6m>15%,6,15,OOS,35,0,-0.079,-4.08,-36.61,51.4
ew,long_short_quintile,trail6m>15%,6,15,ALL,191,5,0.558,9.67,-57.44,58.1
ew,long_short_quintile,trail6m>15%,6,15,IS,156,5,0.482,8.05,-57.44,60.3
ew,long_short_quintile,trail6m>15%,6,15,OOS,35,0,0.913,17.17,-16.55,48.6
ew,quintile_short,trail6m>20%,6,20,ALL,191,1,-0.198,-9.41,-85.9,46.1
