feature,mean_abs_shap
balance_sheet_totalDebt_rk,0.008481350160634523
ratios_fixedAssetTurnover_rk,0.008378339016518679
balance_sheet_otherCurrentLiabilities_rk,0.008267838700055432
key_metrics_netDebtToEBITDA_rk,0.00826696045892557
financial_growth_fiveYShareholdersEquityGrowthPerShare_rk,0.008157955213937916
balance_sheet_capitalLeaseObligationsNonCurrent_rk,0.008069698000393607
balance_sheet_prepaids_rk,0.008047935573381326
ratios_debtToAssetsRatio_rk,0.00802422723467255
ratios_operatingCashFlowSalesRatio_rk,0.007979706281638585
ratios_grossProfitMargin_rk,0.00785004457686765
netIncomeFromDiscontinuedOperations_rk,0.0077552180915286045
balance_sheet_inventory_rk,0.007737302172200106
ratios_enterpriseValueMultiple_rk,0.007714963252202322
additionalPaidInCapital_rk,0.00767683354745359
ratios_tangibleBookValuePerShare_rk,0.007557148788253562
financial_growth_revenueGrowth_rk,0.007498127878976508
financial_growth_threeYShareholdersEquityGrowthPerShare_rk,0.0074114208360542815
income_statement_interestExpense_rk,0.0073993926950680165
key_metrics_daysOfPayablesOutstanding_rk,0.007379209238923485
income_statement_interestIncome_rk,0.007320148781685065
cash_flow_netCashProvidedByFinancingActivities_rk,0.007288471018364537
preferredStock_rk,0.007200420750522301
ratios_financialLeverageRatio_rk,0.007145521752357682
ratios_quickRatio_rk,0.007131150754137211
ratios_ebtPerEbit_rk,0.007079856250200876
balance_sheet_accountsReceivables_rk,0.007075064352562878
financial_growth_freeCashFlowGrowth_rk,0.00705938604170822
financial_growth_ebitgrowth_rk,0.007035952013693811
income_statement_sellingAndMarketingExpenses_rk,0.007027019113075054
netPreferredStockIssuance_rk,0.007010486373020835
income_statement_revenue_rk,0.006974461440526613
cash_flow_netDividendsPaid_rk,0.006971570277154803
key_metrics_salesGeneralAndAdministrativeToRevenue_rk,0.006939068688519521
ratios_effectiveTaxRate_rk,0.006906984542906681
ratios_debtToMarketCap_rk,0.006901999458940929
accruals_rk,0.006808881117336091
balance_sheet_otherPayables_rk,0.006804369447201667
financial_growth_weightedAverageSharesDilutedGrowth_rk,0.006623544961569784
cash_flow_otherInvestingActivities_rk,0.006604252095107361
net_debt_to_ebitda_rk,0.006580477524401246
ratios_interestCoverageRatio_rk,0.006535277142717423
financial_growth_fiveYRevenueGrowthPerShare_rk,0.006527358523531055
financial_growth_epsgrowth_rk,0.006526338039875569
financial_growth_tenYRevenueGrowthPerShare_rk,0.006501501444675825
cash_flow_otherFinancingActivities_rk,0.006472667844632255
key_metrics_capexToRevenue_rk,0.006443780738739725
cash_flow_netDebtIssuance_rk,0.006380894282989652
balance_sheet_shortTermDebt_rk,0.006286472059986139
income_statement_generalAndAdministrativeExpenses_rk,0.006255261570495229
cash_flow_otherNonCashItems_rk,0.006224593332260085
balance_sheet_otherReceivables_rk,0.006158258841822086
financial_growth_dividendsPerShareGrowth_rk,0.006154548536659018
netIncomeDeductions_rk,0.006129062930492114
key_metrics_averageReceivables_rk,0.006071420530893025
financial_growth_fiveYDividendperShareGrowthPerShare_rk,0.006066050656477135
shortTermNetDebtIssuance_rk,0.006034441938226796
balance_sheet_intangibleAssets_rk,0.0059832509733479
ratios_receivablesTurnover_rk,0.0059675332233747715
balance_sheet_totalNonCurrentLiabilities_rk,0.005952951314556561
ratios_shortTermOperatingCashFlowCoverageRatio_rk,0.005950773818139866
ratios_cashRatio_rk,0.00594595136610792
key_metrics_returnOnCapitalEmployed_rk,0.005941016886551699
key_metrics_workingCapital_rk,0.005940139568800522
balance_sheet_totalCurrentAssets_rk,0.005862674857930138
ratios_workingCapitalTurnoverRatio_rk,0.005774585380414148
income_statement_ebitda_rk,0.005753375418797905
