model,strategy,period,CAGR,vol,Sharpe,Sortino,MaxDD,Calmar,hit_rate,avg_turnover,n_rebalances,n_stops_total,stop_loss_savings_total,stop_commission_total,stop_slippage_drag_total
ew,quintile_short,ALL,-0.09218266009840048,0.15421672359803867,-0.5498940953713376,-0.7730756136918361,-0.8241223654815173,-0.11185554956337108,0.3717277486910995,0.3017632333802908,191,743,1.310229543835861,0.07688986822720945,0.1537797364544189
ew,quintile_short,IS,-0.09160406170431967,0.16026024622557475,-0.5197638101800189,-0.7428233539887333,-0.7499640674209626,-0.122144600899794,0.36538461538461536,0.3021660574625015,156,0,0.0,0.0,0.0
ew,quintile_short,OOS,-0.09475707709353776,0.1257509335614777,-0.727729005649775,-0.9330397580625074,-0.3354117508241663,-0.28250971190097773,0.4,0.29996778889958026,35,0,0.0,0.0,0.0
ew,long_short_quintile,ALL,0.14762047340079776,0.17149601705087444,0.8891822945352126,1.9837394369221601,-0.3085695851471595,0.478402540322943,0.5130890052356021,0.5795998588254335,191,1949,3.4256816666610295,0.20163930661361595,0.4032786132272319
ew,long_short_quintile,IS,0.1248611560042181,0.17124654788789892,0.7714523913680985,1.7312086641795061,-0.3085695851471595,0.40464505257273087,0.5,0.5954815764455709,156,0,0.0,0.0,0.0
ew,long_short_quintile,OOS,0.2547945139450718,0.1726234076333456,1.409656235867614,3.067783974955488,-0.1094907760564825,2.327086564932485,0.5714285714285714,0.5088127745756781,35,0,0.0,0.0,0.0
gbm_cls,quintile_short,ALL,0.046921897443548355,0.1587160999291994,0.36551376479097014,0.6670892237924937,-0.38873410540421627,0.1207043498145286,0.5,0.5022094343814594,154,950,2.8558206713170717,0.09298473466279171,0.18596946932558342
gbm_cls,quintile_short,IS,0.03599309628427805,0.16700783607631098,0.2916054672111364,0.5324040651538483,-0.38873410540421627,0.0925905285486887,0.4789915966386555,0.5043964530171151,119,0,0.0,0.0,0.0
gbm_cls,quintile_short,OOS,0.08494948834597804,0.12824581167323132,0.6992469380623556,1.2906461498544801,-0.1262692944986482,0.6727644173769219,0.5714285714285714,0.4947735710202296,35,0,0.0,0.0,0.0
gbm_cls,long_short_quintile,ALL,0.2408555233006786,0.12230088988152799,1.8389067200552909,5.054855926808631,-0.11396589748960584,2.1133999609194114,0.7337662337662337,0.9990129130322966,154,1447,3.6437840698798976,0.1399386213710626,0.2798772427421252
gbm_cls,long_short_quintile,IS,0.2534431162318671,0.12437635480334522,1.8924289520172402,5.538952277302714,-0.09270930761721796,2.733739715523425,0.7394957983193278,1.002062429811842,119,0,0.0,0.0,0.0
gbm_cls,long_short_quintile,OOS,0.19899568288546354,0.11610264230172768,1.630368356864933,3.733645275010577,-0.11396589748960573,1.746098501998047,0.7142857142857143,0.9886445559818432,35,0,0.0,0.0,0.0
gbm_rank,quintile_short,ALL,0.23474725976692823,0.1948280969251337,1.184765169324953,2.586680233782438,-0.3709438134709102,0.6328377809307698,0.6168831168831169,0.354062102126381,154,1297,4.692697169330597,0.12706379188477884,0.2541275837695577
gbm_rank,quintile_short,IS,0.2021270124840291,0.19683121442208332,1.0359412405911588,2.1658394730032353,-0.3709438134709102,0.5448992681471964,0.6218487394957983,0.3724748145237501,119,0,0.0,0.0,0.0
gbm_rank,quintile_short,OOS,0.35242223308628673,0.18820619696504734,1.7127674280534229,4.604242366752773,-0.13690332271343375,2.574241633447988,0.6,0.29145887997532605,35,0,0.0,0.0,0.0
gbm_rank,long_short_quintile,ALL,0.39811246177115733,0.14679710386802855,2.3856841362181234,6.76375435255651,-0.1496344813813434,2.6605663219867615,0.7532467532467533,0.6289120264262228,154,1476,4.919070113303272,0.1438830157499495,0.287766031499899
gbm_rank,long_short_quintile,IS,0.37645536205788477,0.13438586800141983,2.4741742103378788,7.097975090364891,-0.07602553771492926,4.95169614543824,0.7647058823529411,0.6621722378929232,119,0,0.0,0.0,0.0
gbm_rank,long_short_quintile,OOS,0.4743276854277161,0.1840980777544421,2.229523173080062,6.233699038822849,-0.1496344813813435,3.1699089745156526,0.7142857142857143,0.515827307439441,35,0,0.0,0.0,0.0
