short_rank,Ticker,Company,sector,industry,mktCap,mktCap_AUDm,ShortPct,adjClose,score_logit,score_gbm_cls,score_gbm_rank,consensus_rank
1,AMP,AMP LIMITED ORDINARY,,,4047381523.2000003,4047.0,2.32,1.6,0.6382820500585299,0.8990479085863077,0.15681794426426532,0.900769384492406
2,GDG,GENERATION DEV GROUP ORDINARY,,,1621611044.24,1622.0,9.59,4.07,0.7012840951151856,0.8286017584161022,-0.5401810299729943,0.8862310151878496
3,HMC,HMC CAPITAL LIMITED ORDINARY,,,1142947533.26,1143.0,6.94,2.77,0.6840816533643228,0.749236759226357,1.0546599912404857,0.8821043165467626
4,RWC,RELIANCE WORLDWIDE ORDINARY,,,2416160524.0499997,2416.0,3.11,3.15,0.7212687458523043,0.8921086403435811,-1.1501667669969242,0.8650279776179056
5,NUF,NUFARM LIMITED ORDINARY,,,929393882.78,929.0,1.63,2.42,0.6555910089857192,0.9077610876704449,-0.882610159006468,0.8648481215027978
6,TYR,TYRO PAYMENTS ORDINARY,,,438627096.52,439.0,5.49,0.835,0.6646683397769751,0.9034372279117977,-1.177744140812786,0.8469724220623501
7,DTL,DATA#3 LIMITED ORDINARY,,,1306565413.3799999,1307.0,5.12,8.43,0.6507907024152794,0.7552877939330076,-0.2788844723276587,0.8297162270183853
8,ACL,AU CLINICAL LABS ORDINARY,,,381640413.06,382.0,8.44,1.97,0.7341500966870319,0.8136257484023767,-1.3624248579179932,0.8258193445243805
9,WTC,WISETECH GLOBAL LTD ORDINARY,,,12365806000.000002,12366.0,7.83,37.09,0.7361173362246679,0.6861811030202851,-0.531393063607234,0.8070143884892086
10,MGH,MAAS GROUP HOLDINGS ORDINARY,,,1790119653.3,1790.0,1.45,4.95,0.6078512601552285,0.8332924560747237,-0.5564751088683733,0.803107513988809
11,XRO,XERO LTD ORDINARY,,,12935952960.0,12936.0,3.49,75.84,0.7677761739992445,0.6961777225454308,-0.9920994499018694,0.7845923261390887
12,PNV,POLYNOVO LIMITED ORDINARY,,,787423277.2199999,787.0,10.37,1.14,0.6097059583451948,0.7621969349434651,-0.38065880177452266,0.7749200639488408
13,CKF,COLLINS FOODS LTD ORDINARY,,,1003962909.9,1004.0,0.86,8.51,0.6523937755754811,0.8483404881093384,-1.8113629766285015,0.7631594724220623
14,VSL,VULCAN STEEL ORDINARY,,,770512040.06,771.0,0.83,5.42,0.7012614748286966,0.8802410383819632,-2.282021609967064,0.7617406075139886
15,ARB,ARB CORPORATION. ORDINARY,,,1503401990.45,1503.0,3.76,18.05,0.628485484519136,0.8034495286115464,-1.2104445431021909,0.7595723421262989
16,MAF,MA FINANCIAL GROUP ORDINARY,,,1129598011.92,1130.0,2.25,6.44,0.8286406011190075,0.7785420206528123,-1.957314924243981,0.7553956834532375
17,TPW,TEMPLE & WEBSTER LTD ORDINARY,,,603176530.32,603.0,7.73,5.04,0.5821146680078669,0.744297570339134,0.22312747692864873,0.7553856914468425
18,CCP,CREDIT CORP GROUP ORDINARY,,,754863030.0,755.0,6.31,11.09,0.7387003239333921,0.8064036622932278,-2.2667161611207494,0.7508493205435651
19,GYG,GUZMAN Y GOMEZ LTD ORDINARY,,,2013741750.09,2014.0,12.69,19.81,0.6301762727151812,0.7943279914286334,-1.3436881535110379,0.7461530775379696
20,COH,COCHLEAR LIMITED ORDINARY,,,6380204666.04,6380.0,4.2,97.53,0.6913457122729529,0.7908089097191534,-1.9414038948260446,0.7437749800159873
21,MAQ,MACQUARIE TECHNOLOGY ORDINARY,,,1931483476.08,1931.0,2.86,74.94,0.6872467204119996,0.7787048122896194,-1.923999055033075,0.7383892885691448
22,SHV,SELECT HARVESTS ORDINARY,,,547114410.15,547.0,1.98,3.85,0.6075168019252534,0.7823158555205482,-1.0241135937125183,0.7369704236610711
23,BLX,BEACON LIGHTING GRP ORDINARY,,,366470913.6,366.0,0.65,1.6,0.5876887602113346,0.7752871841216008,-0.5707170727213007,0.7369604316546763
24,PLS,PLS GROUP LTD ORDINARY,,,20417323320.0,20417.0,6.41,6.34,0.5819729151182819,0.8904641272040159,-1.1875206771494986,0.7348121502797761
25,AUB,AUB GROUP LTD ORDINARY,,,2880875494.14,2881.0,5.51,24.71,0.7570002655877369,0.7293541450775022,-1.9385733020778488,0.7232513988808953
26,FPR,FLEETPARTNERS GROUP ORDINARY,,,599970708.4,600.0,0.01,2.8,0.7283491957476533,0.8322824280697608,-2.7336913479298657,0.7167266187050361
27,OML,OOH!MEDIA LIMITED ORDINARY,,,738130361.82,738.0,0.81,1.37,0.601754876505247,0.8052969425487563,-1.4374332524149427,0.7066746602717826
28,MMS,MCMILLAN SHAKESPEARE ORDINARY,,,1292574525.4399998,1293.0,5.63,18.56,0.603009975093906,0.8970295487435956,-1.961084484868235,0.6956534772182253
29,AX1,ACCENT GROUP LTD ORDINARY,,,330652120.70000005,331.0,3.17,0.55,0.660597267944564,0.6345149951884759,-1.0973403049585762,0.6947541966426859
30,CAR,CAR GROUP LIMITED ORDINARY,,,9385607174.9,9386.0,11.53,24.82,0.6864376715902365,0.8113734997547836,-2.7483301752045968,0.6946342925659472
