short_rank,Ticker,Company,sector,industry,mktCap,mktCap_AUDm,ShortPct,adjClose,score_naive,score_ew,score_logit,consensus_rank
1,BAP,BAPCOR LIMITED ORDINARY,,,702583875.0,703.0,9.41,0.42500001192092896,0.9551724137931035,0.9862068965517241,0.6725281378658241,0.9735632183908045
2,LOT,LOTUS RESOURCES LTD ORDINARY,,,450131140.0,450.0,19.54,0.6299999952316284,1.0,1.0,0.6062770491618195,0.9701149425287356
3,MSB,MESOBLAST LIMITED ORDINARY,,,1897736359.0,1898.0,8.66,2.140000104904175,0.9344827586206896,0.9724137931034482,0.6756050679783618,0.9632183908045976
4,HLS,HEALIUS ORDINARY,,,657150365.0,657.0,9.55,0.3400000035762787,0.9620689655172414,0.993103448275862,0.6127071500986812,0.9586206896551724
5,FLT,FLIGHT CENTRE TRAVEL ORDINARY,,,3209856979.0,3210.0,10.77,10.930000305175781,0.9758620689655172,0.9448275862068966,0.580892595095691,0.928735632183908
6,ILU,ILUKA RESOURCES ORDINARY,,,2487580448.0,2488.0,7.53,7.900000095367432,0.9,0.9137931034482759,0.6192865652929466,0.9172413793103448
7,EML,EML PAYMENTS LTD ORDINARY,,,356480768.0,356.0,3.79,0.38999998569488525,0.7758620689655172,0.9793103448275862,0.6868998795449223,0.9149425287356321
8,TLX,TELIX PHARMACEUTICAL ORDINARY,,,3794313599.0,3794.0,15.15,13.029999732971191,0.993103448275862,0.8448275862068966,0.5835834989465796,0.9045977011494252
9,DMP,DOMINO PIZZA ENTERPR ORDINARY,,,1984378746.0,1984.0,15.2,17.989999771118164,0.996551724137931,0.7862068965517242,0.5964778285628876,0.8931034482758621
10,ING,INGHAMS GROUP ORDINARY,,,925533000.0,926.0,7.63,2.0899999141693115,0.903448275862069,0.7793103448275862,0.6442232334448947,0.8827586206896552
11,VUL,VULCAN ENERGY ORDINARY,,,629924647.0,630.0,4.65,3.990000009536743,0.8310344827586207,0.9689655172413794,0.5779096476995063,0.8827586206896552
12,ACL,AU CLINICAL LABS ORDINARY,,,532746769.0,533.0,8.35,2.0299999713897705,0.9241379310344827,0.903448275862069,0.5694179462910247,0.8804597701149425
13,TPW,TEMPLE & WEBSTER LTD ORDINARY,,,1637193439.0,1637.0,7.66,5.409999847412109,0.906896551724138,0.9344827586206896,0.5662520337998719,0.8793103448275862
14,PNV,POLYNOVO LIMITED ORDINARY,,,849588272.0,850.0,8.02,1.2200000286102295,0.9137931034482759,0.8344827586206897,0.5790147549379809,0.867816091954023
15,PWH,PWR HOLDINGS LIMITED ORDINARY,,,789506857.0,790.0,7.8,9.4399995803833,0.9103448275862069,0.7241379310344828,0.6510570714085638,0.867816091954023
16,CAT,CATAPULT SPORTS LTD ORDINARY,,,982562636.0,983.0,5.15,3.369999885559082,0.8482758620689655,0.9758620689655172,0.5607114858774581,0.8666666666666667
17,NEC,NINE ENTERTAINMENT ORDINARY,,,1758312150.0,1758.0,4.12,0.9549999833106995,0.8,0.8172413793103448,0.6518051531238892,0.8632183908045977
18,SHL,SONIC HEALTHCARE ORDINARY,,,11170987138.0,11171.0,6.38,19.520000457763672,0.8827586206896552,0.7034482758620689,0.739792206621252,0.8620689655172414
19,GEM,G8 EDUCATION LIMITED ORDINARY,,,522693051.0,523.0,5.22,0.15000000596046448,0.8517241379310345,0.9275862068965517,0.5682728857013081,0.8609195402298851
20,WEB,WEB TRAVEL GROUP LTD ORDINARY,,,943099169.0,943.0,5.56,2.609999895095825,0.8568965517241379,0.9655172413793104,0.5595101955622185,0.8603448275862068
21,SBM,ST BARBARA LIMITED ORDINARY,,,701681599.0,702.0,3.57,0.574999988079071,0.7448275862068966,0.9551724137931035,0.5844624136449765,0.8597701149425289
22,RHC,RAMSAY HEALTH CARE ORDINARY,,,7906236000.0,7906.0,5.96,37.09000015258789,0.8793103448275862,0.8758620689655172,0.5704488129028886,0.8586206896551724
23,GNC,GRAINCORP LIMITED A CLASS ORDINARY,,,1452285713.0,1452.0,2.3,4.929999828338623,0.6362068965517241,0.9827586206896551,0.6151213727765351,0.8488505747126437
24,NAN,NANOSONICS LIMITED ORDINARY,,,1206156066.0,1206.0,8.37,3.1600000858306885,0.9275862068965517,0.7551724137931034,0.5754222843327766,0.8425287356321839
25,4DX,4DMEDICAL LIMITED ORDINARY,,,1947825404.0,1948.0,10.06,3.9700000286102295,0.9689655172413794,0.8120689655172414,0.5485412711639157,0.8293103448275861
26,EOS,ELECTRO OPTIC SYS. ORDINARY,,,1821467814.0,1821.0,3.59,11.130000114440918,0.7482758620689656,0.8,0.6035163636863086,0.8172413793103449
27,CBA,COMMONWEALTH BANK. ORDINARY,,,268473040000.0,268473.0,2.1,165.02000427246094,0.6137931034482759,0.8206896551724138,0.6665638424640461,0.803448275862069
28,AUB,AUB GROUP LTD ORDINARY,,,3590892967.0,3591.0,5.59,26.1299991607666,0.8620689655172413,0.8724137931034482,0.5406524017444007,0.8022988505747127
29,NXT,NEXTDC LIMITED ORDINARY,,,7908854721.0,7909.0,8.31,15.239999771118164,0.9206896551724137,0.7586206896551724,0.5496449958469444,0.7988505747126436
30,SHV,SELECT HARVESTS ORDINARY,,,549956562.0,550.0,2.04,3.930000066757202,0.603448275862069,0.8620689655172413,0.6079073103752065,0.7931034482758621
