feature,gain,split
ratios_operatingCashFlowCoverageRatio_rk,220.14023971557617,40.0
financial_growth_tenYShareholdersEquityGrowthPerShare_rk,218.70965027809143,35.0
ratios_payablesTurnover_rk,218.6594500541687,37.0
key_metrics_earningsYield_rk,218.07893896102905,34.0
ratios_ebitdaMargin_rk,215.73772168159485,39.0
key_metrics_workingCapital_rk,215.13030886650085,37.0
short_pct_ff_rk,210.5451112985611,44.0
ratios_tangibleBookValuePerShare_rk,210.44625043869019,36.0
key_metrics_freeCashFlowYield_rk,210.2617701292038,40.0
balance_sheet_deferredTaxLiabilitiesNonCurrent_rk,207.61910152435303,40.0
key_metrics_daysOfSalesOutstanding_rk,205.17943215370178,38.0
key_metrics_intangiblesToTotalAssets_rk,204.63036060333252,29.0
key_metrics_capexToRevenue_rk,202.20445048809052,39.0
income_statement_interestIncome_rk,201.54053938388824,39.0
balance_sheet_treasuryStock_rk,200.82429003715515,34.0
financial_growth_tenYDividendperShareGrowthPerShare_rk,200.1043393611908,38.0
income_statement_weightedAverageShsOut_rk,200.0873303413391,23.0
ratios_shortTermOperatingCashFlowCoverageRatio_rk,199.23362863063812,44.0
income_statement_researchAndDevelopmentExpenses_rk,199.22539925575256,31.0
cash_flow_salesMaturitiesOfInvestments_rk,198.449768781662,30.0
cash_flow_commonDividendsPaid_rk,197.69603979587555,33.0
financial_growth_bookValueperShareGrowth_rk,196.65681886672974,36.0
cash_flow_otherWorkingCapital_rk,195.80259013175964,34.0
cash_flow_netDebtIssuance_rk,195.40873956680298,39.0
accruals_rk,194.9060206413269,42.0
key_metrics_returnOnEquity_rk,191.12520837783813,34.0
balance_sheet_deferredRevenue_rk,186.26404929161072,36.0
income_statement_weightedAverageShsOutDil_rk,185.54732012748718,22.0
income_statement_sellingGeneralAndAdministrativeExpenses_rk,184.24530220031738,28.0
ratios_dividendPayoutRatio_rk,183.34896004199982,32.0
ratios_interestCoverageRatio_rk,180.60560822486877,30.0
financial_growth_fiveYBottomLineNetIncomeGrowthPerShare_rk,180.48630905151367,32.0
key_metrics_capexToOperatingCashFlow_rk,180.20531940460205,30.0
key_metrics_returnOnTangibleAssets_rk,178.36576962471008,32.0
ratios_receivablesTurnover_rk,177.97277975082397,30.0
ratios_priceToBookRatio_rk,176.29886031150818,32.0
income_statement_netInterestIncome_rk,175.68161940574646,29.0
ratios_revenuePerShare_rk,175.41348099708557,24.0
ratios_priceToEarningsGrowthRatio_rk,174.38230967521667,35.0
ratios_operatingProfitMargin_rk,174.2089400291443,32.0
ratios_dividendPaidAndCapexCoverageRatio_rk,173.98506140708923,33.0
cash_flow_netDividendsPaid_rk,173.49409103393555,32.0
income_statement_generalAndAdministrativeExpenses_rk,171.52288055419922,31.0
key_metrics_evToFreeCashFlow_rk,169.9699500799179,31.0
ratios_dividendYield_rk,169.7401304244995,39.0
income_statement_ebit_rk,169.5907392501831,20.0
financial_growth_fiveYShareholdersEquityGrowthPerShare_rk,166.5004608631134,32.0
balance_sheet_otherPayables_rk,165.52067136764526,32.0
balance_sheet_inventory_rk,161.56641149520874,32.0
pe_rk,161.28342008590698,33.0
