feature,gain,split
enterpriseValue_rk,5.855380058288574,1.0
capitalExpenditure_rk,5.59660005569458,1.0
grossProfit_rk,5.435229778289795,1.0
totalDebt_rk,5.229959964752197,1.0
longTermInvestments_rk,4.999849796295166,1.0
solvencyRatio_rk,4.781000137329102,1.0
interestExpense_rk,4.535369873046875,1.0
epsDiluted_rk,4.426070213317871,1.0
debtToAssetsRatio_rk,4.2174601554870605,1.0
cashPerShare_rk,4.191740036010742,1.0
totalEquity_rk,3.7936699390411377,1.0
ebit_rk,3.756389856338501,2.0
daysOfInventoryOutstanding_rk,3.732919931411743,1.0
roa_rk,3.606139898300171,1.0
commonStock_rk,3.4644999504089355,1.0
threeYNetIncomeGrowthPerShare_rk,3.463320016860962,1.0
debtToMarketCap_rk,3.2980599403381348,1.0
changeInWorkingCapital_rk,3.2713499069213867,1.0
capexPerShare_rk,3.1901800632476807,1.0
totalAssets_rk,3.117810010910034,1.0
bookValuePerShare_rk,2.6929500102996826,1.0
cashAndShortTermInvestments_rk,2.674340009689331,1.0
netIncome_rk,2.298949956893921,1.0
researchAndDevelopmentExpenses_rk,1.748270034790039,1.0
pretaxProfitMargin_rk,0.0,0.0
investmentsInPropertyPlantAndEquipment_rk,0.0,0.0
totalStockholdersEquity_rk,0.0,0.0
minorityInterest_rk,0.0,0.0
totalLiabilitiesAndTotalEquity_rk,0.0,0.0
netStockIssuance_rk,0.0,0.0
totalPayables_rk,0.0,0.0
netCommonStockIssuance_rk,0.0,0.0
netDividendsPaid_rk,0.0,0.0
eps_growth_yoy_rk,0.0,0.0
bottomLineNetIncome_rk,0.0,0.0
operating_margin_rk,0.0,0.0
net_margin_rk,0.0,0.0
debt_equity_rk,0.0,0.0
interest_coverage_rk,0.0,0.0
current_ratio_rk,0.0,0.0
roe_rk,0.0,0.0
roic_rk,0.0,0.0
gross_margin_rk,0.0,0.0
totalNonCurrentAssets_rk,0.0,0.0
ebitda_rk,0.0,0.0
totalCurrentLiabilities_rk,0.0,0.0
netIncomeFromContinuingOperations_rk,0.0,0.0
incomeBeforeTax_rk,0.0,0.0
revenue_growth_yoy_rk,0.0,0.0
debtToCapitalRatio_rk,0.0,0.0
priceToBookRatio_rk,0.0,0.0
currentRatio_rk,0.0,0.0
forwardPriceToEarningsGrowthRatio_rk,0.0,0.0
netProfitMargin_rk,0.0,0.0
evToEBITDA_rk,0.0,0.0
workingCapital_rk,0.0,0.0
dividendYield_rk,0.0,0.0
interestDebtPerShare_rk,0.0,0.0
dividendYieldPercentage_rk,0.0,0.0
shareholdersEquityPerShare_rk,0.0,0.0
freeCashFlowPerShare_rk,0.0,0.0
netIncomePerEBT_rk,0.0,0.0
priceToFairValue_rk,0.0,0.0
enterpriseValueMultiple_rk,0.0,0.0
evToSales_rk,0.0,0.0
averageReceivables_rk,0.0,0.0
averageInventory_rk,0.0,0.0
capexToOperatingCashFlow_rk,0.0,0.0
returnOnInvestedCapital_rk,0.0,0.0
taxBurden_rk,0.0,0.0
freeCashFlowToEquity_rk,0.0,0.0
netIncomeGrowth_rk,0.0,0.0
intangibleAssets_rk,0.0,0.0
key_metrics_currentRatio_rk,0.0,0.0
costAndExpenses_rk,0.0,0.0
sellingGeneralAndAdministrativeExpenses_rk,0.0,0.0
ev_ebitda_rk,0.0,0.0
pb_rk,0.0,0.0
ps_rk,0.0,0.0
fcf_yield_rk,0.0,0.0
earnings_yield_rk,0.0,0.0
