model,strategy,period,CAGR,vol,Sharpe,Sortino,MaxDD,Calmar,hit_rate,avg_turnover,n_rebalances
ew,quintile_short,ALL,-0.09529923301809318,0.28400650034037206,-0.20225369060021278,-0.2648349957926656,-0.8619510191151794,-0.1105622371859609,0.4607329842931937,0.26086335474092454,191
ew,quintile_short,IS,-0.10710373160537068,0.2967429795763812,-0.22369463522143027,-0.29075146177215705,-0.8619510191151794,-0.12425732927993534,0.44871794871794873,0.26384694757659927,156
ew,quintile_short,OOS,-0.04075779014508907,0.22168685610007963,-0.07939765046543822,-0.11267334656651157,-0.3660599630927043,-0.11134184083050679,0.5142857142857142,0.2475650552447747,35
ew,long_short_quintile,ALL,0.1019373329745068,0.2068866883567702,0.57726035091725,0.8412106437608475,-0.5739380276332084,0.17761034827204858,0.5968586387434555,0.5739547489353122,191
ew,long_short_quintile,IS,0.08686607645177458,0.21001451054090095,0.5067634647035563,0.707184949039575,-0.5739380276332084,0.1513509686925447,0.6217948717948718,0.5818335761994101,156
ew,long_short_quintile,OOS,0.17169468278893874,0.19432883746606988,0.9127284258827841,1.865047849184167,-0.16549802614258458,1.037442480679591,0.4857142857142857,0.5388376902724757,35
logit,quintile_short,ALL,-0.11336019240398365,0.2443272798123585,-0.3653216123028809,-0.4751440062396693,-0.8408982149906221,-0.13480845883975134,0.43506493506493504,0.2870942039062773,154
logit,quintile_short,IS,-0.12765642835721558,0.25388096250087816,-0.40505555601786164,-0.5211549080209037,-0.8191441384448042,-0.15584122789376142,0.42016806722689076,0.29273144334598983,119
logit,quintile_short,OOS,-0.06297738415820375,0.21141415690040188,-0.20383363656851874,-0.2848336343270408,-0.40928446999724144,-0.15387191250776805,0.4857142857142857,0.26792758981125475,35
logit,long_short_quintile,ALL,0.02577639889294603,0.15756627085978853,0.24071635939491146,0.3436710946357178,-0.37561571651659686,0.06862438859585653,0.5454545454545454,0.552191222764394,154
logit,long_short_quintile,IS,0.024956409554183656,0.1494054211131656,0.24025287256755135,0.3342698194661496,-0.37561571651659686,0.0664413347386675,0.5630252100840336,0.5702871654048559,119
logit,long_short_quintile,OOS,0.02856927274725196,0.18505776193477333,0.24232083034852708,0.3738715541236769,-0.3711230769099362,0.07698058817879742,0.4857142857142857,0.49066501778682364,35
naive,quintile_short,ALL,-0.08505893779676221,0.2184591398572974,-0.2942598216220763,-0.3859828049100169,-0.8271501460574654,-0.10283373363613338,0.4712041884816754,0.12139673760378698,191
naive,quintile_short,IS,-0.08791264875916693,0.22659513935259515,-0.2893251540901567,-0.3821324016723321,-0.7955410904282177,-0.1105067353740911,0.46153846153846156,0.12168617465528132,156
naive,quintile_short,OOS,-0.07223056170413389,0.1806026954774365,-0.3244512079039758,-0.4125233699630921,-0.35689923433690884,-0.2023836275197751,0.5142857142857142,0.12010667531712649,35
naive,long_short_quintile,ALL,0.08158206333236806,0.14201051019850688,0.624213983303449,1.0109938754391268,-0.31027701561997656,0.26293298963623124,0.612565445026178,0.3680671299871578,191
naive,long_short_quintile,IS,0.07487945255989947,0.14613104311880218,0.5674419335618188,0.934612104127908,-0.31027701561997656,0.24133096810371188,0.5961538461538461,0.38392703999810934,156
naive,long_short_quintile,OOS,0.11196852367638854,0.12360861398319209,0.9235434014293337,1.3773705289895533,-0.1081210979506958,1.0355844122804525,0.6857142857142857,0.2973772453669168,35
