model,ic_mean,ic_t,ic_hit_rate,ic_n_periods,decile_spread_mean
ew,0.07498724451307352,9.119943119756748,0.7819905213270142,211,-0.0014178287923366458
naive,0.012140945123166682,2.132000863294668,0.5402843601895735,211,-0.008075399006912318
gbm_cls,-0.030234676715325485,-2.55047887882194,0.3673469387755102,98,-0.0036112551785495084
logit,-0.04250302014334453,-4.292817851690748,0.3111111111111111,90,-0.00678526073868194
gbm_rank,-0.04546635341893595,-2.5054900858942553,0.3673469387755102,98,0.010246701700079006
