#,Ticker,Company,mktCap (A$m),ShortPct,score_naive,score_ew,score_logit,SI %,SI z,3m-mom (inv),vol,P/E,FCF-yld (inv),ROE (inv),D/E,rev-gth (inv),EW factor avg
1,LOT,LOTUS RESOURCES LTD ORDINARY,450.0,19.54,1.0,1.0,0.6062770491618195,1.0,0.9793103448275862,0.9896551724137931,0.7103448275862069,0.5,0.9586206896551724,0.8689655172413793,0.15517241379310345,0.9810344827586207,0.794
2,DMP,DOMINO PIZZA ENTERPR ORDINARY,1984.0,15.2,0.996551724137931,0.7862068965517242,0.5964778285628876,0.996551724137931,0.5586206896551724,0.5344827586206897,0.5413793103448276,0.59,0.16551724137931034,0.3275862068965517,0.9,0.7793103448275862,0.599
3,TLX,TELIX PHARMACEUTICAL ORDINARY,3794.0,15.15,0.993103448275862,0.8448275862068966,0.5835834989465796,0.993103448275862,0.7034482758620689,0.08620689655172409,0.4206896551724138,0.5,0.7862068965517242,0.7241379310344828,0.8068965517241379,0.4172413793103448,0.604
4,BOE,BOSS ENERGY LTD ORDINARY,610.0,14.33,0.9896551724137931,0.6482758620689655,0.47469219307948574,0.9896551724137931,0.21724137931034482,0.8137931034482758,0.2620689655172414,0.5,0.46896551724137936,0.7551724137931035,0.04827586206896552,0.024137931034482807,0.453
5,TWE,TREASURY WINE ESTATE ORDINARY,4244.0,13.07,0.9862068965517241,0.9,0.47290454683401645,0.9862068965517241,0.6586206896551724,0.44482758620689655,0.5103448275862069,0.5,0.5275862068965518,0.9103448275862069,0.6448275862068965,0.8379310344827586,0.669
6,PLS,PLS GROUP LTD ORDINARY,13590.0,11.53,0.9827586206896551,0.596551724137931,0.5387406912692563,0.9827586206896551,0.4827586206896552,0.04137931034482756,0.38275862068965516,0.98,0.6137931034482759,0.6586206896551724,0.4103448275862069,0.07241379310344831,0.514
7,CAR,CAR GROUP LIMITED ORDINARY,11632.0,11.24,0.9793103448275862,0.7275862068965517,0.47377520457422573,0.9793103448275862,0.9137931034482759,0.5241379310344827,0.33448275862068966,0.79,0.41034482758620694,0.403448275862069,0.5862068965517241,0.5137931034482759,0.606
8,FLT,FLIGHT CENTRE TRAVEL ORDINARY,3210.0,10.77,0.9758620689655172,0.9448275862068966,0.580892595095691,0.9758620689655172,0.5793103448275863,0.6310344827586207,0.7137931034482758,0.65,0.7896551724137931,0.4,0.8103448275862069,0.7827586206896552,0.704
9,PDN,PALADIN ENERGY LTD ORDINARY,1869.0,10.63,0.9724137931034482,0.8517241379310345,0.5080126063898166,0.9724137931034482,0.27241379310344827,0.5724137931034483,0.8586206896551725,0.5,0.6431034482758621,0.806896551724138,0.38275862068965516,0.1344827586206897,0.571
10,4DX,4DMEDICAL LIMITED ORDINARY,1948.0,10.06,0.9689655172413794,0.8120689655172414,0.5485412711639157,0.9689655172413794,0.9896551724137931,0.6137931034482759,0.9862068965517241,0.5,0.7137931034482758,0.0,0.013793103448275862,0.06206896551724139,0.539
11,LYC,LYNAS RARE EARTHS ORDINARY,12191.0,9.97,0.9655172413793104,0.6586206896551724,0.36122553786663936,0.9655172413793104,0.6724137931034483,0.29655172413793107,0.593103448275862,0.915,0.5655172413793104,0.5689655172413793,0.25517241379310346,0.1103448275862069,0.549
12,HLS,HEALIUS ORDINARY,657.0,9.55,0.9620689655172414,0.993103448275862,0.6127071500986812,0.9620689655172414,0.9241379310344827,0.9551724137931035,0.9689655172413794,0.5,0.06206896551724139,0.8275862068965517,0.9275862068965517,0.5758620689655172,0.745
13,BPT,BEACH ENERGY LIMITED ORDINARY,2691.0,9.5,0.9586206896551724,0.6068965517241379,0.4819318689244033,0.9586206896551724,0.8310344827586207,0.5482758620689655,0.5551724137931034,0.095,0.14137931034482754,0.4275862068965517,0.3931034482758621,0.7448275862068965,0.522
14,BAP,BAPCOR LIMITED ORDINARY,703.0,9.41,0.9551724137931035,0.9862068965517241,0.6725281378658241,0.9551724137931035,0.7103448275862069,0.9586206896551724,0.9758620689655172,0.5,0.16896551724137931,0.903448275862069,0.7896551724137931,0.5689655172413793,0.726
15,CUV,CLINUVEL PHARMACEUT. ORDINARY,625.0,9.38,0.9517241379310345,0.7724137931034483,0.5151540713519552,0.9517241379310345,0.6379310344827587,0.6482758620689655,0.2482758620689655,0.715,0.403448275862069,0.4620689655172414,0.06206896551724138,0.9551724137931035,0.565
