Date,Ticker,model,bucket,period,score,stock_return,short_return
2010-06-25,ALL,naive,decile,IS,0.9776785714285714,-0.04021440090420336,0.04021440090420336
2010-06-25,CGF,naive,decile,IS,0.9107142857142857,0.022222256670680673,-0.022222256670680673
2010-06-25,COH,naive,decile,IS,0.9732142857142857,-0.036572678348473775,0.036572678348473775
2010-06-25,CSL,naive,decile,IS,0.96875,-0.005219339257203526,0.005219339257203526
2010-06-25,ELD,naive,decile,IS,0.9508928571428571,0.2054796215600172,-0.2054796215600172
2010-06-25,FLT,naive,decile,IS,0.9040178571428571,0.07857104978000184,-0.07857104978000184
2010-06-25,FXJ,naive,decile,IS,1.0,0.08856076935562118,-0.08856076935562118
2010-06-25,GNC,naive,decile,IS,0.9174107142857143,0.03249113850786545,-0.03249113850786545
2010-06-25,HVN,naive,decile,IS,0.9642857142857143,0.0610462140160819,-0.0610462140160819
2010-06-25,ILU,naive,decile,IS,0.9330357142857143,0.13457578432040918,-0.13457578432040918
2010-06-25,JBH,naive,decile,IS,0.9866071428571429,-0.005149394636837168,0.005149394636837168
2010-06-25,PDN,naive,decile,IS,0.9553571428571429,-0.02659576502195571,0.02659576502195571
2010-06-25,PPT,naive,decile,IS,0.9955357142857143,-0.005503681687674344,0.005503681687674344
2010-06-25,SRL,naive,decile,IS,0.9419642857142857,0.0,-0.0
2010-07-30,ALL,naive,decile,IS,0.9730941704035875,0.056047167218348015,-0.056047167218348015
2010-07-30,CSL,naive,decile,IS,0.9417040358744395,-0.03439953413015184,0.03439953413015184
2010-07-30,ELD,naive,decile,IS,0.905829596412556,0.4666671464032257,-0.4666671464032257
2010-07-30,FLT,naive,decile,IS,0.9484304932735426,0.025323358400951124,-0.025323358400951124
2010-07-30,FXJ,naive,decile,IS,1.0,-0.037288315221650326,0.037288315221650326
2010-07-30,GNC,naive,decile,IS,0.9237668161434978,0.21238988576821627,-0.21238988576821627
2010-07-30,HVN,naive,decile,IS,0.9596412556053812,0.008571547789764544,-0.008571547789764544
2010-07-30,ILU,naive,decile,IS,0.9282511210762332,-0.01999978317738016,0.01999978317738016
2010-07-30,JBH,naive,decile,IS,0.9865470852017937,0.07754064843332675,-0.07754064843332675
2010-07-30,MTS,naive,decile,IS,0.9147982062780269,-0.015730218096637327,0.015730218096637327
