Date,Ticker,Company,weight,entry_price,exit_price,trade_return,trade_return_capped,stop_triggered,pos_contrib_raw,pos_contrib,cost,pos_pnl_net,mktCap_AUDm,ShortPct,ShortPct_rk,mom_12w_rk,vol_4w_rk,log_mktcap_rk,pe_rk,fcf_yield_rk,roe_rk,debt_equity_rk,revenue_growth_yoy_rk
2023-06-26,A2M,THE A2 MILK COMPANY ORDINARY,-0.01639344262295082,4.773599624633789,4.978183269500732,-0.04285731124395209,-0.04285731124395209,False,-0.0007025788728516737,-0.0007025788728516737,0.00010308953341740226,-0.0008056684062690759,5489.038548,3.82,0.8693820224719101,0.2360655737704918,0.10491803278688525,0.8286516853932584,0.7793427230046949,0.4943820224719101,0.6685393258426966,0.33707865168539325,0.3202247191011236
2023-06-26,ABY,ADORE BEAUTY ORDINARY,-0.01639344262295082,0.824999988079071,0.949999988079071,-0.15151515370448654,-0.16,True,-0.0024838549787620746,-0.002622950819672131,0.00018505674653215636,-0.0028080075662042874,96.948231,1.03,0.547752808988764,0.49508196721311476,0.2459016393442623,0.06460674157303371,,0.5898876404494382,0.38202247191011235,0.19382022471910113,0.5421348314606742
2023-06-26,ADH,ADAIRS LIMITED ORDINARY,-0.01639344262295082,1.1522141695022583,1.4839121103286743,-0.2878787204723452,-0.16,True,-0.004719323286431889,-0.002622950819672131,0.00018505674653215636,-0.0028080075662042874,377.3682,3.47,0.8314606741573034,0.06229508196721312,0.8229508196721311,0.3089887640449438,0.2300469483568075,0.9353932584269663,0.8146067415730337,0.8820224719101124,0.36797752808988765
2023-06-26,AEF,AUSTRALIAN ETHICAL ORDINARY,-0.01639344262295082,2.8490331172943115,3.8672120571136475,-0.3573770110423591,-0.16,True,-0.005858639525284575,-0.002622950819672131,0.00018505674653215636,-0.0028080075662042874,435.81615,0.16,0.1896067415730337,0.6459016393442623,0.9147540983606557,0.34269662921348315,0.9812206572769953,0.6264044943820225,0.5674157303370787,0.17415730337078653,0.41853932584269665
2023-06-26,AKP,AUDIO PIXELS LTD ORDINARY,-0.01639344262295082,13.010000228881836,12.40999984741211,0.046118398994163146,0.046118398994163146,False,0.0007560393277731664,0.0007560393277731664,0.00010308953341740226,0.0006529497943557641,288.11238,0.0,0.02949438202247191,0.980327868852459,1.0,0.23595505617977527,,0.4101123595505618,0.0028089887640449437,0.9943820224719101,0.047752808988764044
2023-06-26,ALC,ALCIDION GROUP LTD ORDINARY,-0.01639344262295082,0.09399999678134918,0.125,-0.3297872795757544,-0.16,True,-0.00540634884550417,-0.002622950819672131,0.00018505674653215636,-0.0028080075662042874,183.870012,0.18,0.20224719101123595,0.15081967213114755,0.45901639344262296,0.1601123595505618,,0.3146067415730337,0.2612359550561798,0.19662921348314608,0.16573033707865167
2023-06-26,AMA,AMA GROUP LIMITED ORDINARY,-0.01639344262295082,0.8272609710693359,1.142408013343811,-0.3809523878143424,-0.16,True,-0.006245121111710531,-0.002622950819672131,0.00018505674653215636,-0.0028080075662042874,232.841012,7.87,0.9915730337078652,0.013114754098360656,0.8754098360655738,0.199438202247191,,0.29213483146067415,0.14606741573033707,0.952247191011236,0.3651685393258427
2023-06-26,ANG,AUSTIN ENGINEERING ORDINARY,-0.01639344262295082,0.24356061220169067,0.25734707713127136,-0.05660383591975959,-0.05660383591975959,False,-0.0009279317363895016,-0.0009279317363895016,0.00010308953341740226,-0.0010310212698069038,165.957043,0.1,0.16292134831460675,0.07213114754098361,0.5901639344262295,0.14606741573033707,,0.8623595505617978,0.3904494382022472,0.6657303370786517,0.19662921348314608
2023-06-26,APX,APPEN LIMITED ORDINARY,-0.01639344262295082,2.0735480785369873,2.064452886581421,0.00438629422182657,0.00438629422182657,False,7.190646265289459e-05,7.190646265289459e-05,0.00010308953341740226,-3.118307076450767e-05,225.527321,4.53,0.9157303370786517,0.21967213114754097,0.9868852459016394,0.19382022471910113,,0.1797752808988764,0.016853932584269662,0.29213483146067415,0.7556179775280899
2023-06-26,AQZ,ALLIANCE AVIATION ORDINARY,-0.01639344262295082,2.715625047683716,3.239000082015991,-0.19272728198566536,-0.16,True,-0.0031594636391092685,-0.002622950819672131,0.00018505674653215636,-0.0028080075662042874,502.948037,0.18,0.20224719101123595,0.19344262295081968,0.6622950819672131,0.3792134831460674,0.7934272300469484,0.19662921348314608,0.46629213483146065,0.7584269662921348,0.7584269662921348
