model,bucket,period,n_positions,win_rate_pct,mean_trade_pct,median_trade_pct,mean_win_pct,mean_loss_pct,win_loss_magnitude_ratio,expected_value_pct,stdev_pct,p05_pct,p25_pct,p75_pct,p95_pct,worst_trade_pct,best_trade_pct,n_wins,n_losses,median_win_pct,median_loss_pct,pct_win_gt_10pct,pct_win_gt_25pct,pct_win_gt_50pct,pct_win_gt_100pct,pct_loss_gt_10pct,pct_loss_gt_25pct,pct_loss_gt_50pct,pct_loss_gt_100pct
gbm_rank,quintile,IS_matched,5612,52.55,-0.797,1.424,12.438,-15.454,0.805,-0.797,20.715,-34.22,-8.82,10.74,25.3,-221.43,68.92,2949,2663,10.169,-9.526,26.55,5.13,0.34,0.0,23.2,8.41,2.49,0.39
gbm_rank,tercile,IS_matched,9259,51.73,-0.759,0.98,11.817,-14.238,0.83,-0.759,19.429,-32.0,-8.33,9.8,24.58,-221.43,68.92,4790,4469,9.477,-8.823,24.56,4.78,0.35,0.0,22.23,7.6,2.12,0.31
gbm_rank,top-10,IS_matched,1190,56.13,0.173,3.38,13.327,-16.66,0.8,0.173,22.002,-37.23,-7.46,12.5,28.22,-191.35,53.23,668,522,11.248,-9.007,31.6,6.64,0.34,0.0,20.84,8.82,2.86,0.5
gbm_rank,top-5,IS_matched,595,57.48,0.77,3.415,13.142,-15.953,0.824,0.77,21.865,-33.33,-6.52,12.63,28.01,-191.35,52.08,342,253,11.389,-8.571,33.28,6.22,0.17,0.0,19.33,7.06,2.52,0.67
logit,decile,IS_matched,2805,51.73,-0.621,0.781,11.532,-13.645,0.845,-0.621,19.312,-30.0,-7.96,9.52,23.93,-221.43,70.0,1451,1354,9.091,-8.411,23.6,4.46,0.36,0.0,21.39,7.17,1.96,0.32
logit,quintile,IS_matched,5612,51.23,-0.554,0.537,10.991,-12.681,0.867,-0.554,17.896,-28.57,-7.51,8.77,23.08,-221.43,70.0,2875,2737,8.52,-7.773,21.67,4.19,0.3,0.0,20.42,6.33,1.6,0.25
logit,tercile,IS_matched,9259,49.78,-0.798,0.0,10.598,-12.095,0.876,-0.798,17.42,-27.51,-7.38,8.16,22.19,-221.43,75.91,4609,4650,8.205,-7.344,20.36,3.75,0.27,0.0,19.48,5.92,1.59,0.26
logit,top-10,IS_matched,1190,54.37,-0.69,1.954,11.662,-15.407,0.757,-0.69,21.693,-33.06,-7.34,10.26,24.18,-221.43,59.7,647,543,9.569,-8.556,25.55,4.54,0.42,0.0,21.18,7.82,2.77,0.42
logit,top-5,IS_matched,595,55.46,-0.186,2.265,11.707,-14.996,0.781,-0.186,20.31,-34.29,-6.91,10.53,24.14,-191.35,59.7,330,265,9.571,-8.447,25.88,4.2,0.5,0.0,21.01,7.73,2.35,0.17
naive,decile,IS_matched,2805,48.24,-0.615,-0.152,9.758,-10.281,0.949,-0.615,14.21,-22.6,-7.32,7.25,20.7,-134.11,69.62,1353,1452,7.595,-7.009,17.83,3.03,0.18,0.0,18.89,4.28,0.71,0.04
naive,quintile,IS_matched,5612,49.0,-0.526,0.0,9.538,-10.196,0.935,-0.526,14.067,-22.82,-7.08,7.14,20.17,-134.11,69.62,2750,2862,7.29,-6.945,17.68,2.98,0.14,0.0,18.57,4.17,0.71,0.05
naive,tercile,IS_matched,9259,48.32,-0.707,0.0,9.299,-10.063,0.924,-0.707,14.695,-22.7,-6.87,6.64,19.64,-359.18,73.5,4474,4785,6.945,-6.626,16.65,2.76,0.22,0.0,17.94,4.11,0.72,0.09
naive,top-10,IS_matched,1190,49.24,-0.28,0.0,10.024,-10.276,0.975,-0.28,14.315,-22.91,-7.29,7.57,21.84,-80.95,59.7,586,604,7.809,-7.113,18.49,3.53,0.25,0.0,17.98,4.54,0.76,0.0
naive,top-5,IS_matched,595,47.73,-0.757,-0.524,10.075,-10.649,0.946,-0.757,14.481,-24.91,-7.77,7.73,21.46,-63.04,52.53,284,311,8.052,-7.368,17.31,3.53,0.17,0.0,19.83,5.04,1.18,0.0
