model,strategy,CAGR,vol,Sharpe,Sortino,MaxDD,Calmar,hit_rate,avg_turnover,n_rebalances,n_stops_total,stop_loss_savings_total,stop_commission_total,stop_slippage_drag_total
ew,quintile_short,-0.11550714132878992,0.167019070147412,-0.6511478768634292,-0.9032823602097941,-0.546855451557531,-0.211220608663235,0.41509433962264153,0.13333699820185932,212,234,0.13809158074818065,0.013751562405730047,0.027503124811460097
ew,long_short_quintile,0.057957932794475475,0.15379242905434212,0.4428012123428965,0.6879345426503476,-0.2897780950703882,0.20000798466287548,0.49056603773584906,0.2607278012816448,212,1003,0.6148822908853588,0.05871280670577781,0.11742561341155563
gbm_cls,quintile_short,0.01655774879206451,0.20635729811334294,0.17998571442759662,0.2961289457370403,-0.3667568094545214,0.04514639773612084,0.47474747474747475,0.39045136948813625,99,455,0.4964457925223238,0.025978018005047836,0.05195603601009567
gbm_cls,long_short_quintile,0.14379393759719195,0.1473383867762744,0.9854897405196664,1.6085969479578084,-0.24308441098054545,0.5915391160509264,0.5555555555555556,0.758851286897657,99,610,0.5915675844601319,0.03486684888318177,0.06973369776636355
gbm_rank,quintile_short,0.1292711028176532,0.2559799393981734,0.6000800262135898,1.0130565190342706,-0.3767628121987362,0.3431100380189986,0.5050505050505051,0.30212055287012135,99,637,0.7200470631630032,0.03642627952566787,0.07285255905133575
gbm_rank,long_short_quintile,0.21003214514696267,0.20037255892804037,1.0518951705643775,1.674447035660553,-0.3240457141781572,0.6481559112103826,0.5757575757575758,0.5375598476959523,99,687,0.7537585040843418,0.03929863990813102,0.07859727981626204
logit,quintile_short,-0.04254465923082973,0.1613633760060882,-0.1908154720978832,-0.29587432627606153,-0.3296863791860891,-0.1290458505924981,0.4725274725274725,0.15497600082914476,91,89,0.1357679351005229,0.009362295021879597,0.018724590043759193
logit,long_short_quintile,0.18628485176294096,0.10944568371821377,1.6167809888354332,3.1339317358356666,-0.10750350441063239,1.732825853298573,0.5604395604395604,0.3034055768486129,91,137,0.1911027372844422,0.014393718924133398,0.028787437848266796
naive,quintile_short,0.08172127130230566,0.21849415625443253,0.4676159381442764,0.7343870409276868,-0.3045443095407153,0.26833951166432857,0.49056603773584906,0.051734631355161285,212,568,0.5041395520618146,0.033163496561870086,0.06632699312374019
naive,long_short_quintile,0.3009659546578305,0.13514649846587476,2.0183113393575556,3.8392045219396222,-0.06889475964302472,4.368488346824532,0.589622641509434,0.17044510669000185,212,1172,0.9244961830036442,0.06838567270934848,0.13677134541869695
