Date,Ticker,weight,side,fwd_ret_4w,ShortPct,mktCap,trade_return,position_pnl,model
2026-02-27,IMM,-0.017241379310344827,-1,-0.8753246711526517,2.12,610386367.0,0.8753246711526517,0.015091804675045718,gbm_rank
2026-02-27,IMM,-0.017241379310344827,-1,-0.8753246711526517,2.12,610386367.0,0.8753246711526517,0.015091804675045718,logit
2024-03-28,DUB,-0.016666666666666666,-1,-0.7636363574788589,0.85,92635130.0,0.7636363574788589,0.012727272624647649,gbm_rank
2023-08-25,AMA,-0.01639344262295082,-1,-0.6185946208908153,6.43,108481350.0,0.6185946208908153,0.010140895424439595,ew
2023-08-25,AMA,-0.01639344262295082,-1,-0.6185946208908153,6.43,108481350.0,0.6185946208908153,0.010140895424439595,naive
2023-08-25,AMA,-0.01639344262295082,-1,-0.6185946208908153,6.43,108481350.0,0.6185946208908153,0.010140895424439595,gbm_rank
2023-08-25,AMA,-0.01639344262295082,-1,-0.6185946208908153,6.43,108481350.0,0.6185946208908153,0.010140895424439595,gbm_cls
2023-08-25,AMA,-0.01639344262295082,-1,-0.6185946208908153,6.43,108481350.0,0.6185946208908153,0.010140895424439595,logit
2025-04-24,DUB,-0.01639344262295082,-1,-0.6052631540249753,0.44,44008544.0,0.6052631540249753,0.009922346787294678,gbm_cls
2026-01-30,BAP,-0.017543859649122806,-1,-0.5934579616259745,7.32,702583875.0,0.5934579616259745,0.010411543186420605,logit
2026-01-30,BAP,-0.017543859649122806,-1,-0.5934579616259745,7.32,702583875.0,0.5934579616259745,0.010411543186420605,naive
2024-05-31,CCX,-0.016666666666666666,-1,-0.5901639440372981,0.44,123741308.0,0.5901639440372981,0.009836065733954968,logit
2024-05-31,CCX,-0.016666666666666666,-1,-0.5901639440372981,0.44,123741308.0,0.5901639440372981,0.009836065733954968,gbm_cls
2025-01-31,FBR,-0.01639344262295082,-1,-0.5869565358234037,0.03,190859915.0,0.5869565358234037,0.009622238292186946,gbm_rank
2023-07-28,MSB,-0.01639344262295082,-1,-0.5782615333836174,4.7,565395014.0,0.5782615333836174,0.009479697268583892,naive
2023-07-28,MSB,-0.01639344262295082,-1,-0.5782615333836174,4.7,565395014.0,0.5782615333836174,0.009479697268583892,gbm_rank
2024-09-27,ERA,-0.016666666666666666,-1,-0.5714285809318627,0.0,797165881.0,0.5714285809318627,0.009523809682197711,logit
2023-07-28,SPL,-0.01639344262295082,-1,-0.5692307515962582,1.43,126956952.0,0.5692307515962582,0.009331651665512431,gbm_rank
2023-07-28,SPL,-0.01639344262295082,-1,-0.5692307515962582,1.43,126956952.0,0.5692307515962582,0.009331651665512431,logit
2026-01-30,ABY,-0.017543859649122806,-1,-0.5636363828477777,0.01,119326568.0,0.5636363828477777,0.009888357593820661,gbm_cls
2026-01-30,ABY,-0.017543859649122806,-1,-0.5636363828477777,0.01,119326568.0,0.5636363828477777,0.009888357593820661,logit
2024-05-31,CAN,-0.016666666666666666,-1,-0.5483870754535931,0.0,38648281.0,0.5483870754535931,0.009139784590893218,gbm_rank
2026-04-24,LOT,-0.017241379310344827,-1,-0.5454545418056538,11.53,450131140.0,0.5454545418056538,0.009404388651821617,logit
2026-04-24,LOT,-0.017241379310344827,-1,-0.5454545418056538,11.53,450131140.0,0.5454545418056538,0.009404388651821617,gbm_rank
2026-04-24,LOT,-0.017241379310344827,-1,-0.5454545418056538,11.53,450131140.0,0.5454545418056538,0.009404388651821617,naive
2024-11-29,AMS,-0.016666666666666666,-1,-0.533333308498064,0.17,24273246.0,0.533333308498064,0.008888888474967735,gbm_rank
2024-11-29,AMS,-0.016666666666666666,-1,-0.533333308498064,0.17,24273246.0,0.533333308498064,0.008888888474967735,logit
2024-10-25,RSG,-0.01694915254237288,-1,-0.5317919112983669,0.73,1111473455.0,0.5317919112983669,0.00901342222539605,gbm_cls
2024-10-25,RSG,-0.01694915254237288,-1,-0.5317919112983669,0.73,1111473455.0,0.5317919112983669,0.00901342222539605,ew
2025-01-31,APX,-0.01639344262295082,-1,-0.5254545645280317,0.44,426041658.0,0.5254545645280317,0.008614009254557898,gbm_rank
2025-01-31,APX,-0.01639344262295082,-1,-0.5254545645280317,0.44,426041658.0,0.5254545645280317,0.008614009254557898,gbm_cls
2026-02-27,CXL,-0.017241379310344827,-1,-0.5201793527801637,0.5,210983751.0,0.5201793527801637,0.008968609530692477,gbm_rank
2026-02-27,CXL,-0.017241379310344827,-1,-0.5201793527801637,0.5,210983751.0,0.5201793527801637,0.008968609530692477,gbm_cls
2026-02-27,CXL,-0.017241379310344827,-1,-0.5201793527801637,0.5,210983751.0,0.5201793527801637,0.008968609530692477,logit
2025-05-30,IEL,-0.016666666666666666,-1,-0.5179487217719342,11.9,3523573439.0,0.5179487217719342,0.008632478696198903,ew
2025-05-30,IEL,-0.016666666666666666,-1,-0.5179487217719342,11.9,3523573439.0,0.5179487217719342,0.008632478696198903,naive
2024-07-26,ERA,-0.01639344262295082,-1,-0.5156250309228184,0.0,797165881.0,0.5156250309228184,0.008452869359390467,logit
2024-07-26,ERA,-0.01639344262295082,-1,-0.5156250309228184,0.0,797165881.0,0.5156250309228184,0.008452869359390467,gbm_rank
2026-01-30,GEM,-0.017543859649122806,-1,-0.5,4.05,522693051.0,0.5,0.008771929824561403,naive
2025-01-31,EDE,-0.01639344262295082,-1,-0.5,0.0,123419637.0,0.5,0.00819672131147541,gbm_rank
2026-04-24,IPD,-0.017241379310344827,-1,-0.5,0.55,69157976.0,0.5,0.008620689655172414,logit
